,protName,core,fcc,r,zp,eads,psi,theta,ph,sd,eave
234,1hzh,Ag,111,40.0,-50.0,-148.81453,85.0,85.0,6.8,21.085046100000003,-148.77153662285096
235,1hzh,Ag,111,50.0,-60.0,-140.69849,280.0,55.0,6.8,2.7648711,-140.29135665613273
236,1hzh,Ag,111,50.0,-20.0,-149.52377,185.0,40.0,6.8,13.680508200000002,-149.50777546102532
237,1hzh,Ag,111,15.0,0.0,-151.32167,175.0,30.0,6.8,21.793998900000002,-151.20644429004312
238,1hzh,Ag,111,20.0,-30.0,-154.2603,175.0,30.0,6.8,18.548632500000004,-154.25997992279198
239,1hzh,Ag,111,35.0,-50.0,-157.27948,175.0,35.0,6.8,20.139891900000002,-157.18301597185743
240,1hzh,Ag,111,20.0,-40.0,-172.10937,120.0,65.0,6.8,20.8801938,-172.1093698994869
241,1hzh,Ag,111,30.0,-20.0,-163.1083,0.0,130.0,6.8,13.378023,-163.10429600470331
242,1hzh,Ag,111,15.0,-60.0,-182.40528,180.0,30.0,6.8,8.393765100000001,-182.4052799999996
243,1hzh,Ag,111,10.0,-30.0,-156.86653,15.0,135.0,6.8,13.407255600000001,-156.86652863201596
244,1hzh,Ag,111,10.0,-50.0,-154.01638,120.0,55.0,6.8,12.0862608,-153.96245308534483
245,1hzh,Ag,111,4.0,-50.0,-124.23885,175.0,20.0,6.8,10.689993300000001,-124.23401685821473
